"wealth_2016","family_income_78","mother_education","father_education","poverty_78","race","gender","afqt"
197250,17420.7361516035,14,20,"yes","White","Male",60
291000,17420.7361516035,12,20,"yes","White","Male",21
0,22500,6,10.9474264705882,"no","Black","Male",4
0,22500,10.8690857046641,12,"no","Black","Male",13
0,12500,11,11,"no","Black","Male",1
1050,17420.7361516035,9,9,"yes","Black","Female",1
63815,17420.7361516035,12,12,"yes","Black","Male",88
434500,37500,12,12,"no","Black","Female",84
1422251.5,17420.7361516035,5,4,"yes","White","Male",74
293650,17420.7361516035,5,3,"yes","White","Female",19
254750,17420.7361516035,12,12,"yes","White","Female",33
181750,8500,10.8690857046641,10.9474264705882,"no","White","Male",15
29100,22500,10,10.9474264705882,"no","White","Female",27
250300,17420.7361516035,6,10.9474264705882,"yes","White","Female",36
278200,17420.7361516035,12,11,"yes","White","Female",60
6950,17420.7361516035,17,14,"yes","White","Female",72
123537.5,5500,10.8690857046641,10.9474264705882,"no","White","Female",35
28250,17500,11,10.9474264705882,"no","White","Male",65
1853645,37500,12,12,"no","White","Female",93
1342250,12500,12,9,"no","White","Male",98
119000,37500,11,9,"no","White","Male",67
157250,37500,11,8,"no","White","Male",99
242500,17420.7361516035,10.8690857046641,12,"yes","White","Male",75
483500,17420.7361516035,11,10,"yes","White","Female",33
240575,17420.7361516035,12,8,"yes","White","Female",28
293000,50000,10,12,"no","White","Female",59
403000,50000,16,12,"no","White","Male",98
266675,50000,17,15,"no","White","Female",81
3749941,12500,11,10,"no","White","Male",63
-41550,17420.7361516035,14,14,"yes","White","Female",29
596650,37500,14,15,"no","White","Male",72
279000,17420.7361516035,10,12,"yes","White","Female",89
171550,37500,13,14,"no","White","Male",73
278500,37500,10,11,"no","White","Female",49
976500,17420.7361516035,9,12,"yes","White","Male",32
2480,17420.7361516035,10.8690857046641,12,"yes","White","Female",13
651750,37500,13,16,"no","White","Female",89
1624000,37500,14,16,"no","White","Female",79
35000,37500,16,16,"no","White","Male",69
1168500,37500,15,12,"no","White","Female",65
142950,37500,12,16,"no","White","Female",71
134050,17500,9,10,"no","White","Female",28
0,12500,12,12,"no","White","Male",51
40950,12500,12,12,"no","White","Male",74
616000,22500,10,12,"no","White","Female",32
228950,22500,12,12,"no","White","Male",64
312500,22500,11,12,"no","White","Female",30
89100,37500,12,14,"no","White","Male",42
1307640,37500,12,12,"no","White","Female",94
-199958,17500,12,12,"no","White","Male",34
405500,37500,12,16,"no","White","Female",47
730000,37500,12,16,"no","White","Female",86
392250,17500,8,8,"no","White","Female",85
193000,17500,10.8690857046641,7,"no","White","Female",29
417800,17420.7361516035,12,12,"yes","White","Female",20
232000,22500,10,12,"no","White","Female",50
884109,22500,10,12,"no","White","Male",64
0,3500,6,10,"yes","Black","Male",16
0,3500,6,10,"yes","Black","Female",17
12283.5,17420.7361516035,12,10.9474264705882,"yes","White","Female",1
289175,37500,13,12,"no","Hispanic","Female",48
583109,17420.7361516035,12,14,"yes","White","Male",91
515750,12500,11,12,"no","White","Female",43
854300,17420.7361516035,12,16,"yes","White","Female",90
1553038,22500,12,12,"no","White","Female",60
124250,22500,12,12,"no","White","Male",35
152387.5,37500,12,12,"no","White","Female",87
2500,22500,10,12,"no","White","Female",18
2240970.5,17420.7361516035,10,12,"yes","White","Male",55
5526252,22500,12,12,"no","White","Female",65
108050,37500,10,16,"no","White","Male",94
-103,37500,11,12,"no","White","Female",18
543000,37500,16,17,"no","White","Male",63
1000,50000,12,12,"no","White","Male",25
566450,17420.7361516035,16,12,"yes","White","Female",25
2241084,37500,13,20,"no","White","Male",98
1750,17420.7361516035,16,16,"yes","White","Male",73
-15899,17420.7361516035,5,16,"yes","Hispanic","Female",22
0,17420.7361516035,10.8690857046641,12,"yes","Hispanic","Female",6
805000,12500,11,12,"no","White","Male",23
0,17420.7361516035,10.8690857046641,10.9474264705882,"yes","White","Female",22
704500,22500,12,12,"no","White","Male",50
518250,22500,12,12,"no","White","Female",59
1120440,17420.7361516035,12,16,"yes","White","Male",54
953841.5,17420.7361516035,12,16,"yes","White","Male",52
2142437.5,17500,12,12,"no","White","Male",84
1261532,50000,12,11,"no","White","Female",65
734800,50000,12,12,"no","White","Female",89
27570,8500,10.8690857046641,10.9474264705882,"yes","Black","Female",1
0,8500,9,10.9474264705882,"yes","Black","Male",1
53550,8500,10.8690857046641,10.9474264705882,"yes","Black","Male",3
12402,8500,9,10.9474264705882,"yes","Black","Female",14
0,17420.7361516035,9,9,"yes","Black","Female",7
0,8500,12,15,"no","Hispanic","Female",4
38300,17420.7361516035,8,9,"yes","White","Female",40
917250,17500,12,8,"no","White","Male",28
397500,37500,10.8690857046641,16,"no","White","Female",42
49937.5,37500,10,14,"no","White","Male",51
9300,37500,10,15,"no","White","Male",19
1669386,5500,9,9,"yes","White","Male",31
1001150,17500,12,12,"no","White","Male",52
160250,37500,9,12,"no","White","Female",69
5750,17420.7361516035,11,7,"yes","White","Female",74
45686,17420.7361516035,10,11,"yes","White","Female",7
166400,12500,8,8,"yes","White","Female",46
1737040,17420.7361516035,12,12,"yes","White","Female",32
713000,17420.7361516035,12,12,"yes","White","Male",71
253900,17420.7361516035,16,7,"yes","White","Female",80
765000,17500,14,12,"no","White","Female",89
548750,6500,13,8,"yes","White","Male",63
-13750,7500,16,8,"yes","White","Male",12
154400,7500,12,12,"yes","White","Female",46
-17786,12500,8,12,"no","White","Male",17
207700,17420.7361516035,11,8,"yes","White","Female",98
767400,22500,10,8,"no","White","Female",52
790,17500,11,9,"no","White","Female",48
310,17500,11,9,"no","White","Male",49
143150,17420.7361516035,14,12,"yes","White","Female",98
14350,17420.7361516035,12,12,"yes","White","Male",66
893900,37500,12,18,"no","White","Male",89
-145800,37500,12,10.9474264705882,"no","White","Female",93
0,17500,8,12,"no","White","Male",14
-10990,12500,12,13,"no","White","Male",58
2166834,8500,12,18,"no","White","Male",74
1147075,12500,12,12,"no","White","Female",95
106450,12500,12,12,"no","White","Male",76
20400,5500,15,18,"yes","White","Male",87
85000,5500,14,18,"yes","White","Female",53
4000,17420.7361516035,16,13,"yes","White","Male",31
1729281,37500,13,13,"no","White","Male",83
149250,37500,13,13,"no","White","Female",77
39960.5,37500,8,12,"no","Hispanic","Male",26
515000,37500,8,11,"no","Hispanic","Male",42
934000,37500,8,12,"no","Hispanic","Female",18
102366.5,12500,10.8690857046641,12,"no","Hispanic","Female",43
-2000,17420.7361516035,10,9,"yes","White","Female",19
-50771,17420.7361516035,11,8,"yes","White","Female",24
184800,17500,6,7,"no","White","Female",8
0,3500,10,10.9474264705882,"yes","Black","Male",35
182500,17420.7361516035,12,12,"yes","White","Female",96
462250,17420.7361516035,12,12,"yes","White","Female",87
1778906,22500,12,18,"no","White","Female",44
0,4500,6,12,"yes","Hispanic","Male",12
67750,6500,5,10.9474264705882,"yes","Hispanic","Male",23
4750,6500,5,10.9474264705882,"yes","Hispanic","Male",5
7300,6500,4,10.9474264705882,"yes","Hispanic","Male",6
0,6500,5,10.9474264705882,"yes","Hispanic","Male",3
800,7500,11,11,"no","Black","Male",34
131200,17420.7361516035,10.8690857046641,12,"yes","White","Female",65
1240200,37500,12,12,"no","White","Male",27
159750,37500,12,8,"no","White","Male",21
190000,37500,10.8690857046641,12,"no","White","Male",13
-14500,17500,10.8690857046641,10,"no","White","Female",42
25500,17500,11,10,"no","White","Male",29
79350,17420.7361516035,12,12,"yes","White","Male",16
408500,37500,12,18,"no","White","Male",83
4638096.5,17420.7361516035,12,10,"yes","White","Male",64
3749941,37500,10,12,"no","White","Female",42
0,37500,12,12,"no","White","Male",9
-7580,4500,5,10.9474264705882,"yes","Hispanic","Male",7
2150,5500,5,6,"yes","Hispanic","Male",27
318600,17420.7361516035,12,10.9474264705882,"yes","Black","Female",54
-31200,17420.7361516035,13,12,"yes","Black","Female",52
102500,6500,12,12,"no","Black","Male",19
2500,5500,12,12,"yes","Black","Male",1
0,6500,12,10.9474264705882,"yes","Black","Female",8
102450,6500,12,10.9474264705882,"yes","Black","Female",18
507500,17500,12,16,"no","White","Male",91
33500,17420.7361516035,10.8690857046641,14,"yes","Black","Female",1
332000,17420.7361516035,16,16,"yes","White","Female",89
285500,17500,12,8,"no","White","Male",49
68150,37500,12,12,"no","White","Male",38
625000,37500,12,16,"no","White","Male",26
746250,37500,12,16,"no","White","Female",60
220300,22500,12,12,"no","White","Female",78
709900,22500,12,12,"no","White","Male",41
897250,37500,12,12,"no","White","Male",52
518000,37500,12,13,"no","White","Male",66
1093164.5,37500,12,14,"no","White","Male",34
1574000,37500,16,16,"no","White","Female",80
326510.5,12500,12,13,"no","White","Male",16
500,12500,12,12,"no","White","Female",32
820000,17420.7361516035,14,14,"yes","White","Male",87
168000,17420.7361516035,14,16,"yes","White","Female",59
338000,37500,16,16,"no","White","Female",81
1840,37500,16,12,"no","Black","Female",79
474250,37500,12,18,"no","White","Female",89
32100,37500,4,4,"no","White","Female",17
500,37500,4,4,"no","White","Male",11
-31500,8500,12,12,"no","White","Male",89
0,5500,9,12,"yes","Black","Male",32
7950,5500,9,12,"yes","Black","Male",30
-900,4500,9,12,"yes","Black","Female",1
2335,17420.7361516035,12,10,"yes","White","Male",8
250000,12500,10,12,"no","Black","Male",68
5875,7500,5,10,"yes","Black","Female",5
157500,22500,10,8,"no","Black","Female",28
0,22500,10,7,"no","Black","Male",1
31200,12500,12,14,"no","Black","Female",73
24750,12500,12,12,"no","Black","Female",16
1148300,37500,11,12,"no","White","Male",88
503850,37500,11,12,"no","White","Male",67
0,12500,9,8,"no","Black","Male",5
-30900,17420.7361516035,10,10.9474264705882,"yes","Black","Female",26
0,4500,7,10.9474264705882,"yes","Black","Male",17
0,17420.7361516035,6,10.9474264705882,"yes","Black","Female",4
599,17420.7361516035,12,12,"yes","Black","Male",34
171532.5,37500,12,10,"no","White","Female",78
1025750,37500,12,10,"no","White","Female",99
423750,22500,11,11,"no","White","Female",25
-1250,17420.7361516035,8,11,"yes","White","Female",28
90254.5,17420.7361516035,12,10,"yes","White","Male",4
82775,22500,12,15,"no","White","Female",24
-11680,22500,10.8690857046641,10.9474264705882,"no","White","Male",34
1329750,17500,16,10.9474264705882,"no","White","Female",49
643500,37500,12,12,"no","White","Male",89
80214.5,17420.7361516035,16,16,"yes","White","Male",82
-87288,17500,12,12,"no","White","Male",68
130200,22500,11,12,"no","White","Male",12
132000,22500,11,12,"no","White","Male",59
150334,17420.7361516035,8,10.9474264705882,"yes","White","Male",14
185500,17420.7361516035,12,16,"yes","White","Male",49
79500,6500,13,12,"yes","White","Female",59
21950,17500,18,10.9474264705882,"no","White","Male",63
35000,17500,18,10.9474264705882,"no","White","Male",49
11150,17420.7361516035,14,12,"yes","White","Female",52
349500,17420.7361516035,12,12,"yes","White","Male",44
46750,17420.7361516035,15,15,"yes","White","Female",75
0,17500,12,12,"no","White","Male",3
4500,17500,12,11,"no","White","Male",3
143600,17500,8,8,"no","White","Male",50
62400,17500,12,12,"no","White","Female",65
424326,17420.7361516035,8,10,"yes","White","Female",63
-9350,12500,10,12,"no","White","Female",69
303000,17500,12,8,"no","White","Female",81
593568,17420.7361516035,12,8,"yes","White","Female",43
395000,12500,16,14,"no","White","Male",89
52864.5,37500,13,16,"no","White","Female",62
334900,37500,14,16,"no","White","Male",69
130450,1500,12,10.9474264705882,"yes","White","Female",37
431750,37500,12,14,"no","White","Male",52
234500,37500,15,14,"no","White","Male",64
553729,37500,12,12,"no","White","Female",93
784000,22500,12,12,"no","White","Female",78
184230.5,12500,12,10,"no","White","Female",38
448309,37500,12,18,"no","White","Male",90
542000,17420.7361516035,16,14,"yes","White","Female",93
1449500,37500,12,12,"no","White","Male",85
2981876,17500,12,12,"no","White","Female",77
953564.5,17420.7361516035,12,12,"yes","White","Male",98
1476,17420.7361516035,16,12,"yes","Hispanic","Male",22
7500,5500,8,6,"yes","White","Male",9
194650,17420.7361516035,14,13,"yes","White","Female",38
100500,17420.7361516035,12,12,"yes","White","Female",28
-8150,17420.7361516035,12,12,"yes","White","Female",26
2350,17420.7361516035,12,12,"yes","White","Female",18
4750,22500,12,12,"no","White","Male",59
607000,37500,12,12,"no","White","Male",56
872864.5,37500,16,16,"no","White","Male",98
2496470.5,50000,16,16,"no","White","Male",83
1984553,50000,12,10,"no","White","Male",74
45250,50000,12,10,"no","White","Male",17
300150,22500,12,12,"no","White","Female",19
2220465.5,22500,12,14,"no","White","Male",30
411550,17420.7361516035,14,13,"yes","White","Female",53
90250,17420.7361516035,15,14,"yes","White","Male",35
707125,37500,12,18,"no","White","Male",72
500,37500,12,11,"no","White","Female",16
1131800,37500,12,12,"no","White","Female",52
165000,37500,12,12,"no","White","Male",49
-29248.5,37500,12,12,"no","White","Female",74
73500,37500,12,12,"no","White","Female",94
473000,37500,10,11,"no","White","Female",38
163050,37500,10,11,"no","White","Female",63
385600,37500,12,12,"no","White","Female",69
173750,37500,16,12,"no","White","Male",78
99950,37500,10,10,"no","White","Female",11
118500,50000,12,12,"no","White","Male",38
-45750,50000,12,14,"no","White","Female",43
-5612.5,37500,14,10.9474264705882,"no","White","Female",60
627000,37500,10,10,"no","White","Male",49
645996,8500,11,6,"yes","Black","Male",43
-5000,8500,11,6,"yes","Black","Female",9
0,7500,16,10.9474264705882,"yes","Black","Male",4
0,7500,11,10.9474264705882,"yes","Black","Male",8
-11000,7500,11,10.9474264705882,"yes","Black","Male",5
0,7500,11,10.9474264705882,"yes","Black","Female",2
58600,37500,12,8,"no","Black","Male",22
279659,37500,11,11,"no","Black","Male",15
19750,17420.7361516035,13,20,"yes","White","Female",82
211580,17420.7361516035,12,12,"yes","White","Female",27
43550,17420.7361516035,5,8,"yes","White","Female",12
28500,17420.7361516035,10.8690857046641,12,"yes","White","Male",10
443400,37500,12,12,"no","White","Female",55
151000,22500,11,10.9474264705882,"no","White","Male",4
1.5,12500,8,7,"no","White","Male",2
7376,17420.7361516035,10.8690857046641,10.9474264705882,"yes","White","Male",24
0,12500,8,10.9474264705882,"no","White","Male",18
492.5,50000,12,12,"no","White","Male",23
279425,50000,12,11,"no","White","Female",30
596250,37500,9,16,"no","White","Female",22
525075,37500,9,16,"no","White","Male",38
136750,37500,12,15,"no","White","Female",63
327500,17420.7361516035,12,16,"yes","White","Male",42
868000,17420.7361516035,14,16,"yes","White","Female",79
647150,37500,12,16,"no","White","Male",99
189450,37500,12,16,"no","White","Male",72
248200,37500,12,15,"no","White","Female",99
712500,37500,12,15,"no","White","Female",79
65000,17420.7361516035,12,16,"yes","White","Male",94
71450,37500,12,18,"no","White","Male",57
146375,50000,12,14,"no","White","Female",73
661750,37500,12,13,"no","White","Male",63
845000,17420.7361516035,6,6,"yes","White","Female",36
174000,37500,12,12,"no","White","Male",44
263000,22500,12,12,"no","White","Female",43
290500,17420.7361516035,12,14,"yes","White","Female",54
-300,17420.7361516035,12,12,"yes","White","Male",85
374500,17420.7361516035,12,12,"yes","White","Male",99
791137.5,17420.7361516035,12,16,"yes","White","Male",58
918050,17420.7361516035,12,16,"yes","White","Female",94
917000,37500,12,11,"no","White","Female",75
567200,17420.7361516035,12,15,"yes","White","Male",81
35100,22500,12,12,"no","White","Female",24
252500,17420.7361516035,12,16,"yes","Hispanic","Female",73
-47985,17420.7361516035,13,12,"yes","Hispanic","Female",27
7850,4500,10,12,"yes","Black","Male",43
0,12500,7,0,"no","Black","Male",4
81000,37500,11,12,"no","White","Male",36
-6250,37500,11,14,"no","White","Male",50
96484,37500,14,16,"no","White","Female",87
151010,37500,14,16,"no","White","Female",40
390500,17420.7361516035,12,12,"yes","White","Female",71
284500,17420.7361516035,12,12,"yes","White","Female",49
50750,12500,16,12,"no","White","Male",25
414950,17420.7361516035,10.8690857046641,1,"yes","Hispanic","Female",25
174000,17420.7361516035,10,12,"yes","White","Female",48
88500,17420.7361516035,12,10.9474264705882,"yes","Black","Male",2
114750,12500,12,10.9474264705882,"no","Black","Female",1
164451,5500,13,13,"yes","Black","Female",37
500.5,17420.7361516035,16,10.9474264705882,"yes","Black","Female",17
86100,17420.7361516035,16,10.9474264705882,"yes","Black","Male",22
22308,17420.7361516035,12,10.9474264705882,"yes","Black","Male",7
-3010,17420.7361516035,16,7,"yes","White","Female",38
-150,22500,12,12,"no","White","Female",95
-91.5,5500,10,10.9474264705882,"no","Black","Male",3
11985.5,17420.7361516035,10,10,"yes","White","Male",8
148550,17420.7361516035,10,10,"yes","White","Male",6
179350,17420.7361516035,10,9,"yes","White","Male",23
445750,17420.7361516035,9,9,"yes","White","Female",7
0,17420.7361516035,8,3,"yes","White","Female",55
1918025,17420.7361516035,12,12,"yes","White","Female",66
256300,50000,12,12,"no","White","Female",30
657000,37500,12,15,"no","White","Male",58
410650,37500,12,15,"no","White","Male",46
257400,22500,10,11,"no","White","Female",69
0,37500,13,14,"no","White","Male",12
4650,37500,12,12,"no","White","Female",32
2465573,17420.7361516035,12,14,"yes","White","Male",81
1241751,50000,12,14,"no","White","Male",85
150,17500,12,12,"no","White","Female",2
653607,37500,12,18,"no","White","Male",49
789500,17420.7361516035,17,17,"yes","White","Male",93
70000,22500,17,17,"no","White","Female",83
367250,22500,16,13,"no","White","Male",94
207065.5,37500,12,18,"no","White","Female",75
4638096.5,37500,16,18,"no","White","Female",71
427500,17420.7361516035,12,16,"yes","White","Male",46
49700,37500,12,16,"no","White","Female",51
243300,50000,12,17,"no","White","Female",57
51767,37500,12,17,"no","White","Female",49
16850,37500,13,12,"no","White","Male",4
696000,37500,12,10,"no","White","Male",64
235500,37500,12,12,"no","White","Female",13
2000,22500,11,8,"no","White","Male",74
722500,22500,12,15,"no","White","Female",86
20100,17500,18,13,"no","Black","Male",77
-28953,17500,18,13,"no","Black","Male",50
92207.5,37500,10,11,"no","Black","Male",4
-20,37500,9,12,"no","Black","Male",2
39224,37500,9,12,"no","Black","Male",6
8850,17500,12,9,"no","Black","Male",15
0,5500,8,4,"yes","Black","Male",7
-250,5500,9,4,"yes","White","Male",2
-1100,5500,9,8,"yes","Black","Female",27
-82600,17500,10,10,"no","Black","Female",32
30500,37500,12,12,"no","White","Male",22
0,37500,12,12,"no","White","Male",27
160100,37500,12,12,"no","White","Male",76
291500,17420.7361516035,10,14,"yes","White","Male",80
19025,17500,11,11,"no","White","Female",39
29700,17420.7361516035,12,10.9474264705882,"yes","White","Male",62
-11594,22500,13,12,"no","White","Female",34
167000,37500,3,12,"no","White","Male",18
11042.5,17420.7361516035,7,12,"yes","White","Female",5
930,17420.7361516035,14,9,"yes","White","Female",26
4800,12500,12,12,"no","White","Male",9
250,12500,12,12,"no","White","Male",22
-35500,17500,9,9,"no","White","Female",51
233722.5,17420.7361516035,12,14,"yes","White","Female",46
853,37500,12,12,"no","White","Female",22
356750,17500,11,10,"no","White","Male",28
10850,12500,9,9,"no","White","Male",28
203496,37500,8,8,"no","White","Male",35
122841,50000,12,12,"no","White","Female",93
36750,17420.7361516035,12,10,"yes","White","Male",20
119000,37500,12,10.9474264705882,"no","White","Male",20
307500,37500,12,9,"no","White","Male",23
7000,37500,12,12,"no","White","Male",76
30600,22500,8,2,"no","White","Female",33
63400,50000,11,12,"no","White","Female",29
763400,37500,17,19,"no","White","Female",71
911000,37500,17,19,"no","White","Male",96
41600,12500,9,15,"no","White","Male",11
4638096.5,17420.7361516035,12,12,"yes","White","Male",81
5526252,37500,12,12,"no","White","Male",73
-2229,17420.7361516035,12,12,"yes","White","Male",70
197170,50000,12,12,"no","White","Male",57
750526,50000,12,12,"no","White","Female",34
2560,17500,8,10.9474264705882,"no","White","Male",22
885500,17420.7361516035,12,12,"yes","White","Female",30
107650,37500,13,12,"no","White","Female",94
341000,2500,10.8690857046641,20,"yes","White","Male",73
629012.5,37500,14,20,"no","White","Female",83
17017,17420.7361516035,12,12,"yes","Black","Female",3
399000,37500,12,12,"no","Black","Female",34
114750,37500,14,12,"no","White","Female",71
149150,37500,14,12,"no","White","Male",50
-51045,0,13,14,"yes","White","Male",16
1983700,17420.7361516035,8,10,"yes","White","Female",91
93500,17420.7361516035,9,10.9474264705882,"yes","Black","Male",26
46100,12500,5,3,"yes","Hispanic","Female",62
10000,12500,5,3,"yes","Hispanic","Female",16
3000,22500,10,2,"no","Black","Female",9
-4000,22500,10,2,"no","Black","Female",12
247606.5,37500,8,12,"no","Hispanic","Male",41
-2650,37500,10,12,"no","Hispanic","Male",32
-3400,37500,8,12,"no","Hispanic","Female",25
1500,37500,12,12,"no","White","Male",40
-8200,37500,11,11,"no","White","Female",24
322700,17420.7361516035,12,14,"yes","White","Male",54
34400,37500,10,12,"no","White","Male",42
909100,17420.7361516035,11,12,"yes","White","Female",62
2500,22500,17,12,"no","White","Female",38
30000,17500,10,12,"no","White","Male",32
217500,50000,12,12,"no","White","Female",46
112896,22500,12,11,"no","White","Male",62
59000,37500,12,12,"no","White","Female",22
-75050,50000,12,17,"no","White","Male",81
619850,37500,11,12,"no","White","Male",95
169200,37500,12,12,"no","White","Female",23
-8850,37500,12,12,"no","White","Male",37
-15900,37500,10,9,"no","White","Male",28
10350,22500,11,6,"no","White","Female",32
103140,22500,11,6,"no","White","Male",21
403900,37500,12,12,"no","White","Female",71
-10000,37500,12,12,"no","White","Female",23
1751062.5,37500,12,12,"no","White","Male",69
3284470.5,37500,12,12,"no","White","Female",93
266625,37500,12,13,"no","White","Male",94
4500,37500,12,14,"no","White","Female",36
42110,37500,12,12,"no","White","Female",43
581500,37500,17,16,"no","White","Female",51
583250,50000,18,16,"no","White","Female",97
965000,37500,16,16,"no","White","Male",93
3568626,37500,12,16,"no","White","Male",93
121850,37500,14,14,"no","White","Female",16
178050,17420.7361516035,14,17,"yes","White","Female",55
18000,8500,10,10.9474264705882,"yes","Black","Female",25
-2100,17500,12,12,"no","Black","Male",23
33362.5,17420.7361516035,12,12,"yes","Black","Male",10
-14725,17420.7361516035,12,12,"yes","Black","Female",18
406390,17500,10,10,"no","Black","Female",25
2362.5,17420.7361516035,11,10.9474264705882,"yes","Hispanic","Female",41
0,37500,8,11,"no","Hispanic","Male",8
124000,12500,12,10,"no","Black","Female",6
-3000,17420.7361516035,12,12,"yes","White","Female",17
-27490,17500,13,11,"no","White","Female",33
37500,17500,13,11,"no","White","Male",18
0,17420.7361516035,12,13,"yes","White","Female",17
61655,37500,11,11,"no","Black","Male",36
-7720,12500,12,10.9474264705882,"no","White","Female",29
-8248,12500,12,8,"no","White","Female",33
261750,12500,12,11,"no","White","Male",78
106950,7500,13,12,"no","White","Male",59
181950,37500,12,12,"no","White","Female",44
2111948,22500,12,16,"no","White","Female",77
20375,37500,12,12,"no","White","Female",71
3749941,22500,12,12,"no","White","Female",41
215750,37500,12,12,"no","White","Male",22
816000,17420.7361516035,9,12,"yes","White","Female",48
717007,50000,14,16,"no","White","Male",49
-17400,17420.7361516035,15,18,"yes","White","Male",86
68484,17500,12,13,"no","White","Male",51
1062496,37500,16,17,"no","White","Male",76
340750,37500,16,17,"no","White","Male",84
170100,37500,19,20,"no","White","Female",55
217000,37500,16,16,"no","White","Male",81
651550,37500,16,16,"no","White","Male",59
665318,37500,16,16,"no","White","Female",57
1091750,22500,13,15,"no","White","Female",99
37380,22500,20,20,"no","White","Male",91
1228750,17420.7361516035,14,16,"yes","White","Female",76
321900,17420.7361516035,14,16,"yes","White","Female",42
225000,17420.7361516035,14,14,"yes","White","Male",26
105000,17420.7361516035,12,12,"yes","White","Female",49
2946486,37500,12,14,"no","White","Male",91
234000,17420.7361516035,12,14,"yes","White","Male",60
73250,22500,13,14,"no","White","Female",63
175600,17420.7361516035,12,12,"yes","White","Female",47
162500,37500,16,17,"no","White","Female",99
150,37500,16,18,"no","White","Female",85
0,37500,16,16,"no","White","Female",71
66000,12500,11,10,"no","White","Male",93
62700,17420.7361516035,10,12,"yes","White","Female",79
227500,37500,13,16,"no","White","Male",76
425500,22500,13,12,"no","White","Female",89
116500,22500,12,12,"no","White","Male",75
151850,22500,12,12,"no","White","Male",67
646593,22500,12,12,"no","White","Female",40
0,17420.7361516035,12,10.9474264705882,"yes","Black","Male",88
110650,3500,15,12,"yes","Black","Male",22
1216000,17500,12,10,"no","White","Female",96
154500,17500,12,10,"no","White","Male",84
458350,37500,10,12,"no","White","Female",80
189550,37500,10,8,"no","White","Female",85
146100,50000,14,16,"no","White","Male",84
-2500,37500,12,12,"no","White","Female",37
32000,17500,12,12,"no","White","Male",37
1528500,17500,12,12,"no","White","Male",89
205100,17500,12,12,"no","White","Male",8
429322,22500,10,11,"no","White","Male",60
501099.5,22500,10.8690857046641,9,"no","White","Female",21
937864.5,37500,12,13,"no","White","Male",85
38740,17420.7361516035,12,12,"yes","White","Female",43
461600,22500,12,12,"no","White","Male",56
-16000,17420.7361516035,0,10.9474264705882,"yes","Hispanic","Female",6
224500,17420.7361516035,12,12,"yes","White","Female",22
71225,37500,12,12,"no","White","Female",40
641750,37500,12,12,"no","White","Female",53
116500,37500,12,12,"no","White","Male",75
133000.5,37500,12,12,"no","White","Male",23
450,17420.7361516035,12,10,"yes","White","Female",21
160250,37500,12,12,"no","White","Male",44
-1110883.5,17500,12,12,"no","White","Female",49
605875,6500,12,12,"no","White","Male",99
330462.5,22500,12,12,"no","White","Male",47
656500,17420.7361516035,10,12,"yes","White","Male",91
683263,22500,12,11,"no","White","Female",40
635666.5,22500,12,11,"no","White","Female",76
291900,17500,12,12,"no","White","Male",30
63500,17500,12,12,"no","White","Female",53
750,17420.7361516035,9,12,"yes","White","Female",75
718000,17420.7361516035,12,12,"yes","White","Female",77
190100,37500,12,12,"no","White","Male",48
70350,37500,8,12,"no","White","Male",62
184500,50000,15,16,"no","White","Male",91
4638096.5,50000,15,16,"no","White","Male",83
