"CASEID_1979","HHID_1979","FAMSIZE_1979","AGE_IN_DEC_79","BORN_US","MOTHER_EDUC","MOTHER_EDUC_MISSING","FATHER_EDUC","FATHER_EDUC_MISSING","RACE","SEX","URBAN_RURAL","HOME_LANGUAGE","MOTHER_OCCUPATION","FATHER_OCCUPATION","FAMILY_INCOME_78","FAMILY_INCOME_78_MISSING","POVSTATUS_78","AFQT","Y"
13,13,5,20.6666666666667,"YES",12,0,16,0,"White","MALE","URBAN","Yes","301 TO 395: 301-395 CLERICAL AND KINDRED","601 TO 715: 601-715 OPERATIVES AND KINDRED",22500,0,"NOT IN POVERTY",78,NA
14,13,5,15.8333333333333,"YES",12,0,12,0,"White","FEMALE","URBAN","No (or Missing)","301 TO 395: 301-395 CLERICAL AND KINDRED","201 TO 245: 201-245 MANAGERS,OFFICIALS AND PROPRIETORS",17420.7361516035,1,"Missing",88,1024150
15,15,4,14.1666666666667,"YES",12,0,12,0,"White","MALE","URBAN","No (or Missing)","301 TO 395: 301-395 CLERICAL AND KINDRED","301 TO 395: 301-395 CLERICAL AND KINDRED",22500,0,"NOT IN POVERTY",83,3753020
16,16,4,20.8333333333333,"YES",12,0,12,0,"White","FEMALE","URBAN","No (or Missing)","Missing","301 TO 395: 301-395 CLERICAL AND KINDRED",37500,0,"NOT IN POVERTY",63,36067.5
17,17,2,21.0833333333333,"YES",12,0,15,0,"White","MALE","URBAN","No (or Missing)","301 TO 395: 301-395 CLERICAL AND KINDRED","Missing",17500,0,"NOT IN POVERTY",84,-9700
18,17,1,20.25,"YES",12,0,16,0,"White","MALE","URBAN","No (or Missing)","Missing","Missing",17420.7361516035,1,"Missing",99,422000
19,19,2,22,"YES",10,0,12,0,"White","FEMALE","URBAN","No (or Missing)","Missing","901 TO 965: 901-965 SERVICE WORKERS, EXCEPT PRIVATE HOUSEHOLD",17420.7361516035,1,"Missing",NA,NA
20,20,5,19.9166666666667,"YES",12,0,18,0,"White","FEMALE","URBAN","No (or Missing)","Missing","1 TO 195: 001-195 PROFESSIONAL,TECHNICAL AND KINDRED",50000,0,"NOT IN POVERTY",54,615500
21,20,5,17.5,"YES",12,0,18,0,"White","FEMALE","URBAN","No (or Missing)","Missing","1 TO 195: 001-195 PROFESSIONAL,TECHNICAL AND KINDRED",37500,0,"NOT IN POVERTY",94,4638096.5
22,22,4,15.0833333333333,"YES",12,0,12,0,"White","FEMALE","URBAN","Yes","Missing","601 TO 715: 601-715 OPERATIVES AND KINDRED",17500,0,"NOT IN POVERTY",84,349400
23,23,5,20.75,"YES",12,0,12,0,"White","MALE","URBAN","No (or Missing)","Missing","580 TO 590: 580-590 ARMED FORCES",37500,0,"NOT IN POVERTY",94,NA
24,23,5,17.0833333333333,"YES",12,0,12,0,"White","MALE","URBAN","No (or Missing)","Missing","301 TO 395: 301-395 CLERICAL AND KINDRED",37500,0,"NOT IN POVERTY",66,NA
25,25,3,19.9166666666667,"YES",14,0,16,0,"White","FEMALE","URBAN","No (or Missing)","Missing","260 TO 285: 260-285 SALES WORKERS",17420.7361516035,1,"Missing",60,1776703
26,26,4,16.75,"YES",16,0,17,0,"White","MALE","URBAN","No (or Missing)","201 TO 245: 201-245 MANAGERS,OFFICIALS AND PROPRIETORS","401 TO 575: 401-575 CRAFTSMEN,FOREMEN AND KINDRED",37500,0,"NOT IN POVERTY",96,706000
27,27,4,18.4166666666667,"YES",14,0,20,0,"White","FEMALE","URBAN","No (or Missing)","Missing","1 TO 195: 001-195 PROFESSIONAL,TECHNICAL AND KINDRED",22500,0,"NOT IN POVERTY",85,4638096.5
28,27,4,14.0833333333333,"YES",14,0,20,0,"White","FEMALE","URBAN","No (or Missing)","Missing","1 TO 195: 001-195 PROFESSIONAL,TECHNICAL AND KINDRED",22500,0,"NOT IN POVERTY",93,NA
29,29,4,18.8333333333333,"NO",0,0,4,0,"White","FEMALE","URBAN","Yes","601 TO 715: 601-715 OPERATIVES AND KINDRED","901 TO 965: 901-965 SERVICE WORKERS, EXCEPT PRIVATE HOUSEHOLD",22500,0,"NOT IN POVERTY",18,907297.5
30,29,4,20.9166666666667,"NO",10.8690857046641,1,6,0,"White","FEMALE","URBAN","Yes","601 TO 715: 601-715 OPERATIVES AND KINDRED","901 TO 965: 901-965 SERVICE WORKERS, EXCEPT PRIVATE HOUSEHOLD",22500,0,"NOT IN POVERTY",14,642683
31,31,4,15.8333333333333,"YES",9,0,3,0,"Hispanic","MALE","URBAN","Yes","Missing","Missing",5500,0,"IN POVERTY",NA,84500
32,32,5,21.9166666666667,"NO",12,0,12,0,"Hispanic","FEMALE","URBAN","Yes","Missing","301 TO 395: 301-395 CLERICAL AND KINDRED",22500,0,"NOT IN POVERTY",NA,NA
33,32,4,16.4166666666667,"YES",12,0,15,0,"Hispanic","MALE","URBAN","Yes","Missing","301 TO 395: 301-395 CLERICAL AND KINDRED",22500,0,"NOT IN POVERTY",NA,56.5
34,34,4,21,"YES",13,0,12,0,"White","MALE","RURAL","No (or Missing)","301 TO 395: 301-395 CLERICAL AND KINDRED","401 TO 575: 401-575 CRAFTSMEN,FOREMEN AND KINDRED",22500,0,"NOT IN POVERTY",15,171500
35,34,4,15.6666666666667,"YES",12,0,12,0,"White","FEMALE","RURAL","No (or Missing)","301 TO 395: 301-395 CLERICAL AND KINDRED","Missing",17500,0,"NOT IN POVERTY",45,NA
36,36,5,16.6666666666667,"YES",14,0,12,0,"White","MALE","RURAL","No (or Missing)","301 TO 395: 301-395 CLERICAL AND KINDRED","401 TO 575: 401-575 CRAFTSMEN,FOREMEN AND KINDRED",22500,0,"NOT IN POVERTY",NA,92850
37,37,4,20.8333333333333,"YES",12,0,12,0,"White","FEMALE","URBAN","No (or Missing)","301 TO 395: 301-395 CLERICAL AND KINDRED","301 TO 395: 301-395 CLERICAL AND KINDRED",37500,0,"NOT IN POVERTY",60,1107000
38,37,4,16.6666666666667,"YES",12,0,12,0,"White","FEMALE","URBAN","No (or Missing)","301 TO 395: 301-395 CLERICAL AND KINDRED","301 TO 395: 301-395 CLERICAL AND KINDRED",37500,0,"NOT IN POVERTY",17,432019
39,39,4,19.1666666666667,"YES",12,0,12,0,"White","MALE","URBAN","No (or Missing)","301 TO 395: 301-395 CLERICAL AND KINDRED","401 TO 575: 401-575 CRAFTSMEN,FOREMEN AND KINDRED",22500,0,"NOT IN POVERTY",35,137010
40,40,3,18.1666666666667,"YES",10,0,12,0,"White","MALE","URBAN","No (or Missing)","901 TO 965: 901-965 SERVICE WORKERS, EXCEPT PRIVATE HOUSEHOLD","Missing",5500,0,"NOT IN POVERTY",38,791476
41,40,3,16.3333333333333,"YES",10,0,12,0,"White","MALE","URBAN","No (or Missing)","901 TO 965: 901-965 SERVICE WORKERS, EXCEPT PRIVATE HOUSEHOLD","Missing",5500,0,"NOT IN POVERTY",45,767650
42,42,4,15.75,"NO",14,0,12,0,"Other","MALE","URBAN","Yes","301 TO 395: 301-395 CLERICAL AND KINDRED","901 TO 965: 901-965 SERVICE WORKERS, EXCEPT PRIVATE HOUSEHOLD",22500,0,"NOT IN POVERTY",20,227000
43,43,5,17.5,"YES",10,0,9,0,"Other","FEMALE","URBAN","No (or Missing)","901 TO 965: 901-965 SERVICE WORKERS, EXCEPT PRIVATE HOUSEHOLD","Missing",17420.7361516035,1,"Missing",9,-2900
44,44,4,17.3333333333333,"YES",12,0,12,0,"White","FEMALE","URBAN","No (or Missing)","260 TO 285: 260-285 SALES WORKERS","901 TO 965: 901-965 SERVICE WORKERS, EXCEPT PRIVATE HOUSEHOLD",37500,0,"NOT IN POVERTY",42,672500
45,45,3,19.9166666666667,"YES",9,0,10,0,"White","MALE","URBAN","No (or Missing)","901 TO 965: 901-965 SERVICE WORKERS, EXCEPT PRIVATE HOUSEHOLD","Missing",17500,0,"NOT IN POVERTY",43,NA
46,46,3,16.9166666666667,"NO",12,0,12,0,"White","FEMALE","RURAL","Yes","301 TO 395: 301-395 CLERICAL AND KINDRED","401 TO 575: 401-575 CRAFTSMEN,FOREMEN AND KINDRED",37500,0,"NOT IN POVERTY",58,NA
47,47,3,19.1666666666667,"YES",12,0,16,0,"White","MALE","RURAL","No (or Missing)","Missing","201 TO 245: 201-245 MANAGERS,OFFICIALS AND PROPRIETORS",37500,0,"NOT IN POVERTY",78,476750
48,48,2,20.8333333333333,"YES",12,0,12,0,"White","MALE","URBAN","No (or Missing)","901 TO 965: 901-965 SERVICE WORKERS, EXCEPT PRIVATE HOUSEHOLD","Missing",9500,0,"NOT IN POVERTY",36,NA
49,49,2,20.4166666666667,"YES",12,0,12,0,"White","FEMALE","URBAN","No (or Missing)","Missing","301 TO 395: 301-395 CLERICAL AND KINDRED",17420.7361516035,1,"Missing",81,646000
50,50,4,20.75,"YES",9,0,10,0,"White","FEMALE","URBAN","No (or Missing)","401 TO 575: 401-575 CRAFTSMEN,FOREMEN AND KINDRED","Missing",37500,0,"NOT IN POVERTY",87,144250
51,50,4,15.0833333333333,"YES",9,0,12,0,"White","MALE","URBAN","No (or Missing)","401 TO 575: 401-575 CRAFTSMEN,FOREMEN AND KINDRED","Missing",37500,0,"NOT IN POVERTY",NA,NA
52,52,1,20.75,"YES",12,0,14,0,"White","MALE","URBAN","Yes","Missing","401 TO 575: 401-575 CRAFTSMEN,FOREMEN AND KINDRED",17420.7361516035,1,"Missing",89,983500
53,53,7,15.25,"YES",10.8690857046641,1,4,0,"Hispanic","MALE","URBAN","No (or Missing)","Missing","821 TO 824: 821-824 FARM LABORERS AND FOREMAN",17500,0,"NOT IN POVERTY",38,75
54,54,2,20.5,"YES",3,0,5,0,"White","MALE","URBAN","Yes","Missing","821 TO 824: 821-824 FARM LABORERS AND FOREMAN",17500,0,"NOT IN POVERTY",NA,13000
55,55,4,20.9166666666667,"YES",12,0,12,0,"White","MALE","URBAN","No (or Missing)","901 TO 965: 901-965 SERVICE WORKERS, EXCEPT PRIVATE HOUSEHOLD","401 TO 575: 401-575 CRAFTSMEN,FOREMEN AND KINDRED",12500,0,"NOT IN POVERTY",NA,NA
56,55,4,14.4166666666667,"YES",12,0,12,0,"White","FEMALE","URBAN","No (or Missing)","Missing","401 TO 575: 401-575 CRAFTSMEN,FOREMEN AND KINDRED",12500,0,"NOT IN POVERTY",44,NA
57,57,2,20.4166666666667,"YES",12,0,12,0,"White","FEMALE","URBAN","No (or Missing)","601 TO 715: 601-715 OPERATIVES AND KINDRED","401 TO 575: 401-575 CRAFTSMEN,FOREMEN AND KINDRED",17420.7361516035,1,"Missing",38,185894.5
58,58,5,21.0833333333333,"YES",12,0,17,0,"White","FEMALE","URBAN","No (or Missing)","Missing","201 TO 245: 201-245 MANAGERS,OFFICIALS AND PROPRIETORS",50000,0,"NOT IN POVERTY",96,722000
59,58,5,19.0833333333333,"YES",10.8690857046641,1,10.9474264705882,1,"Other","MALE","URBAN","No (or Missing)","Missing","201 TO 245: 201-245 MANAGERS,OFFICIALS AND PROPRIETORS",50000,0,"NOT IN POVERTY",96,NA
60,58,5,17.6666666666667,"YES",12,0,16,0,"Other","MALE","URBAN","No (or Missing)","Missing","201 TO 245: 201-245 MANAGERS,OFFICIALS AND PROPRIETORS",50000,0,"NOT IN POVERTY",68,1046500
61,61,4,16.75,"YES",12,0,16,0,"White","FEMALE","URBAN","No (or Missing)","901 TO 965: 901-965 SERVICE WORKERS, EXCEPT PRIVATE HOUSEHOLD","1 TO 195: 001-195 PROFESSIONAL,TECHNICAL AND KINDRED",37500,0,"NOT IN POVERTY",99,568150
62,61,4,14.5833333333333,"YES",12,0,16,0,"White","FEMALE","URBAN","No (or Missing)","901 TO 965: 901-965 SERVICE WORKERS, EXCEPT PRIVATE HOUSEHOLD","1 TO 195: 001-195 PROFESSIONAL,TECHNICAL AND KINDRED",37500,0,"NOT IN POVERTY",30,144050
63,63,3,18.1666666666667,"YES",12,0,12,0,"White","MALE","URBAN","No (or Missing)","1 TO 195: 001-195 PROFESSIONAL,TECHNICAL AND KINDRED","401 TO 575: 401-575 CRAFTSMEN,FOREMEN AND KINDRED",37500,0,"NOT IN POVERTY",95,1148000
64,63,6,17.75,"YES",15,0,12,0,"White","MALE","URBAN","No (or Missing)","1 TO 195: 001-195 PROFESSIONAL,TECHNICAL AND KINDRED","401 TO 575: 401-575 CRAFTSMEN,FOREMEN AND KINDRED",37500,0,"NOT IN POVERTY",79,NA
65,63,6,15.8333333333333,"YES",16,0,12,0,"White","FEMALE","URBAN","No (or Missing)","1 TO 195: 001-195 PROFESSIONAL,TECHNICAL AND KINDRED","Missing",37500,0,"NOT IN POVERTY",72,NA
66,66,4,14.0833333333333,"YES",12,0,17,0,"White","MALE","URBAN","No (or Missing)","Missing","1 TO 195: 001-195 PROFESSIONAL,TECHNICAL AND KINDRED",17420.7361516035,1,"Missing",14,0
67,67,4,20.0833333333333,"YES",10.8690857046641,1,18,0,"White","MALE","URBAN","No (or Missing)","Missing","1 TO 195: 001-195 PROFESSIONAL,TECHNICAL AND KINDRED",37500,0,"NOT IN POVERTY",99,4638096.5
68,67,4,16.25,"YES",16,0,17,0,"White","FEMALE","URBAN","No (or Missing)","Missing","1 TO 195: 001-195 PROFESSIONAL,TECHNICAL AND KINDRED",37500,0,"NOT IN POVERTY",99,3749941
69,69,4,14.5833333333333,"YES",17,0,16,0,"White","MALE","URBAN","No (or Missing)","1 TO 195: 001-195 PROFESSIONAL,TECHNICAL AND KINDRED","201 TO 245: 201-245 MANAGERS,OFFICIALS AND PROPRIETORS",37500,0,"NOT IN POVERTY",72,653500
70,70,4,17.25,"YES",20,0,16,0,"White","MALE","URBAN","No (or Missing)","1 TO 195: 001-195 PROFESSIONAL,TECHNICAL AND KINDRED","260 TO 285: 260-285 SALES WORKERS",17420.7361516035,1,"Missing",NA,NA
71,70,3,15.4166666666667,"YES",17,0,16,0,"White","MALE","URBAN","No (or Missing)","1 TO 195: 001-195 PROFESSIONAL,TECHNICAL AND KINDRED","260 TO 285: 260-285 SALES WORKERS",17420.7361516035,1,"Missing",99,NA
72,72,3,20,"YES",14,0,16,0,"White","FEMALE","URBAN","No (or Missing)","Missing","260 TO 285: 260-285 SALES WORKERS",17420.7361516035,1,"Missing",91,634350
73,73,4,15.9166666666667,"YES",16,0,16,0,"White","MALE","URBAN","No (or Missing)","260 TO 285: 260-285 SALES WORKERS","Missing",37500,0,"NOT IN POVERTY",64,749000
74,74,1,19.9166666666667,"YES",15,0,16,0,"White","FEMALE","URBAN","No (or Missing)","301 TO 395: 301-395 CLERICAL AND KINDRED","260 TO 285: 260-285 SALES WORKERS",17420.7361516035,1,"Missing",88,NA
75,74,5,16.25,"YES",14,0,16,0,"White","FEMALE","URBAN","No (or Missing)","301 TO 395: 301-395 CLERICAL AND KINDRED","260 TO 285: 260-285 SALES WORKERS",17420.7361516035,1,"Missing",65,694650
76,74,5,14.1666666666667,"YES",16,0,16,0,"White","MALE","URBAN","No (or Missing)","301 TO 395: 301-395 CLERICAL AND KINDRED","260 TO 285: 260-285 SALES WORKERS",17420.7361516035,1,"Missing",27,80000
77,77,4,14.4166666666667,"YES",16,0,16,0,"White","FEMALE","URBAN","No (or Missing)","1 TO 195: 001-195 PROFESSIONAL,TECHNICAL AND KINDRED","201 TO 245: 201-245 MANAGERS,OFFICIALS AND PROPRIETORS",17420.7361516035,1,"Missing",60,4638096.5
78,78,5,21.3333333333333,"YES",16,0,18,0,"White","FEMALE","URBAN","No (or Missing)","Missing","201 TO 245: 201-245 MANAGERS,OFFICIALS AND PROPRIETORS",37500,0,"NOT IN POVERTY",78,NA
79,78,5,18.3333333333333,"YES",16,0,18,0,"White","MALE","URBAN","No (or Missing)","Missing","201 TO 245: 201-245 MANAGERS,OFFICIALS AND PROPRIETORS",37500,0,"NOT IN POVERTY",97,NA
80,80,4,15.5,"YES",14,0,20,0,"White","MALE","URBAN","No (or Missing)","1 TO 195: 001-195 PROFESSIONAL,TECHNICAL AND KINDRED","1 TO 195: 001-195 PROFESSIONAL,TECHNICAL AND KINDRED",17420.7361516035,1,"Missing",60,197250
81,80,4,14.75,"YES",12,0,20,0,"White","MALE","URBAN","No (or Missing)","Missing","1 TO 195: 001-195 PROFESSIONAL,TECHNICAL AND KINDRED",17420.7361516035,1,"Missing",21,291000
82,82,8,20.75,"NO",10.8690857046641,1,10.9474264705882,1,"Black","MALE","URBAN","No (or Missing)","Missing","601 TO 715: 601-715 OPERATIVES AND KINDRED",17420.7361516035,1,"Missing",1,NA
83,83,7,18.5833333333333,"YES",6,0,10.9474264705882,1,"Black","MALE","URBAN","No (or Missing)","901 TO 965: 901-965 SERVICE WORKERS, EXCEPT PRIVATE HOUSEHOLD","601 TO 715: 601-715 OPERATIVES AND KINDRED",22500,0,"NOT IN POVERTY",4,0
84,83,7,15.3333333333333,"YES",10.8690857046641,1,12,0,"Black","MALE","URBAN","No (or Missing)","Missing","601 TO 715: 601-715 OPERATIVES AND KINDRED",22500,0,"NOT IN POVERTY",13,0
85,85,7,19.5,"YES",11,0,11,0,"Black","MALE","URBAN","No (or Missing)","Missing","Missing",12500,0,"NOT IN POVERTY",1,0
86,85,3,18.8333333333333,"YES",9,0,9,0,"Black","FEMALE","URBAN","No (or Missing)","Missing","601 TO 715: 601-715 OPERATIVES AND KINDRED",17420.7361516035,1,"Missing",1,1050
87,85,7,15.3333333333333,"YES",11,0,12,0,"Black","MALE","URBAN","No (or Missing)","Missing","601 TO 715: 601-715 OPERATIVES AND KINDRED",12500,0,"NOT IN POVERTY",2,NA
88,88,2,21.3333333333333,"YES",12,0,12,0,"Black","MALE","URBAN","No (or Missing)","301 TO 395: 301-395 CLERICAL AND KINDRED","601 TO 715: 601-715 OPERATIVES AND KINDRED",17420.7361516035,1,"Missing",88,63815
89,89,5,19.25,"NO",12,0,12,0,"Black","FEMALE","RURAL","Yes","601 TO 715: 601-715 OPERATIVES AND KINDRED","601 TO 715: 601-715 OPERATIVES AND KINDRED",37500,0,"NOT IN POVERTY",84,434500
90,90,5,20.75,"NO",5,0,4,0,"White","MALE","URBAN","Yes","601 TO 715: 601-715 OPERATIVES AND KINDRED","601 TO 715: 601-715 OPERATIVES AND KINDRED",17420.7361516035,1,"Missing",74,1422251.5
91,90,5,15.5833333333333,"YES",5,0,3,0,"White","FEMALE","URBAN","Yes","Missing","Missing",17420.7361516035,1,"Missing",19,293650
92,92,4,16.6666666666667,"YES",12,0,12,0,"White","FEMALE","URBAN","No (or Missing)","Missing","401 TO 575: 401-575 CRAFTSMEN,FOREMEN AND KINDRED",17420.7361516035,1,"Missing",33,254750
93,93,4,14.5,"YES",10.8690857046641,1,10.9474264705882,1,"White","MALE","URBAN","No (or Missing)","Missing","Missing",8500,0,"NOT IN POVERTY",15,181750
94,94,4,21.1666666666667,"YES",10,0,10,0,"White","MALE","URBAN","No (or Missing)","901 TO 965: 901-965 SERVICE WORKERS, EXCEPT PRIVATE HOUSEHOLD","401 TO 575: 401-575 CRAFTSMEN,FOREMEN AND KINDRED",22500,0,"NOT IN POVERTY",NA,NA
95,94,4,18.5833333333333,"YES",10,0,10.9474264705882,1,"White","FEMALE","URBAN","No (or Missing)","901 TO 965: 901-965 SERVICE WORKERS, EXCEPT PRIVATE HOUSEHOLD","740 TO 785: 740-785 LABORERS, EXCEPT FARM",22500,0,"NOT IN POVERTY",27,29100
96,96,1,17.5,"YES",6,0,10.9474264705882,1,"White","FEMALE","URBAN","Yes","601 TO 715: 601-715 OPERATIVES AND KINDRED","601 TO 715: 601-715 OPERATIVES AND KINDRED",17420.7361516035,1,"Missing",36,250300
97,97,1,20.1666666666667,"YES",12,0,11,0,"White","FEMALE","URBAN","No (or Missing)","401 TO 575: 401-575 CRAFTSMEN,FOREMEN AND KINDRED","401 TO 575: 401-575 CRAFTSMEN,FOREMEN AND KINDRED",17420.7361516035,1,"Missing",60,278200
98,98,1,21.75,"YES",17,0,14,0,"White","FEMALE","URBAN","Yes","1 TO 195: 001-195 PROFESSIONAL,TECHNICAL AND KINDRED","Missing",17420.7361516035,1,"Missing",72,6950
99,99,4,21.75,"YES",12,0,16,0,"White","FEMALE","URBAN","No (or Missing)","301 TO 395: 301-395 CLERICAL AND KINDRED","1 TO 195: 001-195 PROFESSIONAL,TECHNICAL AND KINDRED",22500,0,"NOT IN POVERTY",NA,191450
100,100,2,15.8333333333333,"YES",10.8690857046641,1,10.9474264705882,1,"White","FEMALE","URBAN","Yes","Missing","Missing",5500,0,"NOT IN POVERTY",35,123537.5
101,101,5,20.75,"YES",10,0,6,0,"White","MALE","URBAN","Yes","Missing","601 TO 715: 601-715 OPERATIVES AND KINDRED",17500,0,"NOT IN POVERTY",74,NA
102,101,5,14.6666666666667,"YES",10,0,5,0,"White","FEMALE","URBAN","Yes","Missing","Missing",17500,0,"NOT IN POVERTY",40,NA
103,103,3,20.4166666666667,"YES",11,0,10.9474264705882,1,"White","MALE","URBAN","Yes","Missing","601 TO 715: 601-715 OPERATIVES AND KINDRED",17500,0,"NOT IN POVERTY",65,28250
104,104,3,20.5,"YES",12,0,10.9474264705882,1,"White","FEMALE","URBAN","Yes","901 TO 965: 901-965 SERVICE WORKERS, EXCEPT PRIVATE HOUSEHOLD","401 TO 575: 401-575 CRAFTSMEN,FOREMEN AND KINDRED",17420.7361516035,1,"Missing",41,NA
105,105,3,20.75,"YES",12,0,12,0,"White","FEMALE","URBAN","Yes","401 TO 575: 401-575 CRAFTSMEN,FOREMEN AND KINDRED","Missing",37500,0,"NOT IN POVERTY",93,1853645
106,106,3,17.0833333333333,"YES",12,0,9,0,"White","MALE","URBAN","Yes","601 TO 715: 601-715 OPERATIVES AND KINDRED","401 TO 575: 401-575 CRAFTSMEN,FOREMEN AND KINDRED",12500,0,"NOT IN POVERTY",98,1342250
107,107,5,16.1666666666667,"YES",11,0,9,0,"White","MALE","URBAN","No (or Missing)","Missing","201 TO 245: 201-245 MANAGERS,OFFICIALS AND PROPRIETORS",37500,0,"NOT IN POVERTY",67,119000
108,107,5,20.5833333333333,"YES",11,0,8,0,"White","MALE","URBAN","No (or Missing)","Missing","201 TO 245: 201-245 MANAGERS,OFFICIALS AND PROPRIETORS",37500,0,"NOT IN POVERTY",99,157250
109,109,4,16.3333333333333,"YES",10.8690857046641,1,10.9474264705882,1,"White","FEMALE","URBAN","No (or Missing)","Missing","901 TO 965: 901-965 SERVICE WORKERS, EXCEPT PRIVATE HOUSEHOLD",17500,0,"NOT IN POVERTY",46,NA
110,110,6,21.4166666666667,"YES",10.8690857046641,1,12,0,"White","MALE","URBAN","No (or Missing)","Missing","Missing",17420.7361516035,1,"Missing",75,242500
111,110,6,19.5,"YES",11,0,10,0,"White","FEMALE","URBAN","No (or Missing)","601 TO 715: 601-715 OPERATIVES AND KINDRED","301 TO 395: 301-395 CLERICAL AND KINDRED",17420.7361516035,1,"Missing",33,483500
112,110,6,15.75,"YES",12,0,8,0,"White","FEMALE","URBAN","No (or Missing)","Missing","Missing",17420.7361516035,1,"Missing",28,240575
113,113,4,15.0833333333333,"NO",10.8690857046641,1,10.9474264705882,1,"White","MALE","URBAN","Yes","601 TO 715: 601-715 OPERATIVES AND KINDRED","601 TO 715: 601-715 OPERATIVES AND KINDRED",17420.7361516035,1,"Missing",63,NA
114,113,4,21.0833333333333,"NO",6,0,7,0,"White","MALE","URBAN","Yes","601 TO 715: 601-715 OPERATIVES AND KINDRED","601 TO 715: 601-715 OPERATIVES AND KINDRED",17420.7361516035,1,"Missing",76,NA
115,115,5,18.6666666666667,"YES",10,0,12,0,"White","FEMALE","URBAN","No (or Missing)","Missing","401 TO 575: 401-575 CRAFTSMEN,FOREMEN AND KINDRED",50000,0,"NOT IN POVERTY",59,293000
116,115,5,16,"YES",10,0,12,0,"White","FEMALE","URBAN","No (or Missing)","Missing","201 TO 245: 201-245 MANAGERS,OFFICIALS AND PROPRIETORS",50000,0,"NOT IN POVERTY",50,NA
117,115,5,19.75,"YES",10,0,12,0,"White","MALE","RURAL","No (or Missing)","Missing","401 TO 575: 401-575 CRAFTSMEN,FOREMEN AND KINDRED",50000,0,"NOT IN POVERTY",92,NA
118,118,3,17.8333333333333,"YES",10.8690857046641,1,8,0,"White","FEMALE","URBAN","No (or Missing)","Missing","Missing",12500,0,"NOT IN POVERTY",31,NA
119,118,2,21.4166666666667,"YES",11,0,8,0,"White","MALE","URBAN","No (or Missing)","901 TO 965: 901-965 SERVICE WORKERS, EXCEPT PRIVATE HOUSEHOLD","601 TO 715: 601-715 OPERATIVES AND KINDRED",7500,0,"NOT IN POVERTY",27,NA
